1000
8.32d0    0.d0
8.36d0    0.d0
8.4d0    0.d0
8.44d0    0.d0
8.48d0    0.d0
8.51999999999999d0    0.d0
8.55999999999999d0    0.d0
8.59999999999999d0    0.d0
8.63999999999999d0    0.d0
8.67999999999999d0    0.d0
8.71999999999999d0    0.d0
8.75999999999999d0    0.d0
8.79999999999999d0    0.d0
8.83999999999999d0    0.d0
8.87999999999999d0    0.d0
8.91999999999999d0    0.d0
8.95999999999999d0    0.d0
8.99999999999998d0    0.d0
9.03999999999998d0    0.d0
9.07999999999998d0    0.d0
9.11999999999998d0    0.d0
9.15999999999998d0    0.d0
9.19999999999998d0    0.d0
9.23999999999998d0    0.d0
9.27999999999998d0    0.d0
9.31999999999998d0    0.d0
9.35999999999998d0    0.d0
9.39999999999998d0    0.d0
9.43999999999998d0    0.d0
9.47999999999997d0    0.d0
9.51999999999997d0    0.d0
9.55999999999997d0    0.d0
9.59999999999997d0    0.d0
9.63999999999997d0    0.d0
9.67999999999997d0    0.d0
9.71999999999997d0    0.d0
9.75999999999997d0    0.d0
9.79999999999997d0    0.d0
9.83999999999997d0    0.d0
9.87999999999997d0    0.d0
9.91999999999996d0    0.d0
9.95999999999996d0    0.d0
9.99999999999996d0    0.d0
10.03999999999996d0    0.d0
10.07999999999996d0    0.d0
10.11999999999996d0    0.d0
10.15999999999996d0    0.d0
10.19999999999996d0    0.d0
10.23999999999996d0    0.d0
